feature,checking_status,count,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker
checking_status,no checking,394,,,,,,,,,,,,
checking_status,<0,274,,,,,,,,,,,,
checking_status,0<=X<200,269,,,,,,,,,,,,
checking_status,>=200,63,,,,,,,,,,,,
credit_history,,530,existing paid,,,,,,,,,,,
credit_history,,293,critical/other existing credit,,,,,,,,,,,
credit_history,,88,delayed previously,,,,,,,,,,,
credit_history,,49,all paid,,,,,,,,,,,
credit_history,,40,no credits/all paid,,,,,,,,,,,
purpose,,280,,radio/tv,,,,,,,,,,
purpose,,234,,new car,,,,,,,,,,
purpose,,181,,furniture/equipment,,,,,,,,,,
purpose,,103,,used car,,,,,,,,,,
purpose,,97,,business,,,,,,,,,,
purpose,,50,,education,,,,,,,,,,
purpose,,22,,repairs,,,,,,,,,,
purpose,,12,,domestic appliance,,,,,,,,,,
purpose,,12,,other,,,,,,,,,,
purpose,,9,,retraining,,,,,,,,,,
savings_status,,603,,,<100,,,,,,,,,
savings_status,,183,,,no known savings,,,,,,,,,
savings_status,,103,,,100<=X<500,,,,,,,,,
savings_status,,63,,,500<=X<1000,,,,,,,,,
savings_status,,48,,,>=1000,,,,,,,,,
employment,,339,,,,1<=X<4,,,,,,,,
employment,,253,,,,>=7,,,,,,,,
employment,,174,,,,4<=X<7,,,,,,,,
employment,,172,,,,<1,,,,,,,,
employment,,62,,,,unemployed,,,,,,,,
personal_status,,548,,,,,male single,,,,,,,
personal_status,,310,,,,,female div/dep/mar,,,,,,,
personal_status,,92,,,,,male mar/wid,,,,,,,
personal_status,,50,,,,,male div/sep,,,,,,,
other_parties,,907,,,,,,none,,,,,,
other_parties,,52,,,,,,guarantor,,,,,,
other_parties,,41,,,,,,co applicant,,,,,,
property_magnitude,,332,,,,,,,car,,,,,
property_magnitude,,282,,,,,,,real estate,,,,,
property_magnitude,,232,,,,,,,life insurance,,,,,
property_magnitude,,154,,,,,,,no known property,,,,,
other_payment_plans,,814,,,,,,,,none,,,,
other_payment_plans,,139,,,,,,,,bank,,,,
other_payment_plans,,47,,,,,,,,stores,,,,
housing,,713,,,,,,,,,own,,,
housing,,179,,,,,,,,,rent,,,
housing,,108,,,,,,,,,for free,,,
job,,630,,,,,,,,,,skilled,,
job,,200,,,,,,,,,,unskilled resident,,
job,,148,,,,,,,,,,high qualif/self emp/mgmt,,
job,,22,,,,,,,,,,unemp/unskilled non res,,
own_telephone,,596,,,,,,,,,,,none,
own_telephone,,404,,,,,,,,,,,yes,
foreign_worker,,963,,,,,,,,,,,,yes
foreign_worker,,37,,,,,,,,,,,,no
