Principal_Component,Coefficient,Abs_Coefficient
PC4_客户稳定性,-0.2850766605827525,0.2850766605827525
PC10_还款能力,-0.25702583036680093,0.25702583036680093
PC7_还款能力,-0.19416161918531688,0.19416161918531688
PC2_客户稳定性,-0.19035148644764077,0.19035148644764077
PC1_综合消费力,0.11621982819417576,0.11621982819417576
PC3_还款能力,0.10704675925696355,0.10704675925696355
PC6_还款能力,0.03229604989118453,0.03229604989118453
PC5_还款能力,0.029713177900033243,0.029713177900033243
PC11_综合消费力,0.02138476265038079,0.02138476265038079
PC8_客户稳定性,-0.01655324146538846,0.01655324146538846
PC9_客户稳定性,-0.012339164036934176,0.012339164036934176
