主成分,主成分名称,方差解释比例,累计方差解释比例
PC1,综合消费力,0.2980148167357431,0.2980148167357431
PC2,客户稳定性,0.13903447205294783,0.4370492887886909
PC3,还款能力,0.11507972229333938,0.5521290110820303
PC4,客户稳定性,0.08558176636005276,0.637710777442083
PC5,还款能力,0.0615613299212846,0.6992721073633676
PC6,还款能力,0.057133255375915924,0.7564053627392836
PC7,还款能力,0.05432234885935808,0.8107277115986417
PC8,客户稳定性,0.05038925018553152,0.8611169617841732
PC9,客户稳定性,0.0440426720745227,0.9051596338586959
PC10,还款能力,0.04157414258357325,0.9467337764422692
PC11,综合消费力,0.028692967643571134,0.9754267440858403
