PC,explained_variance_ratio,cumulative_variance
PC1,0.2980148167357431,0.2980148167357431
PC2,0.13903447205294783,0.4370492887886909
PC3,0.11507972229333938,0.5521290110820303
PC4,0.08558176636005276,0.637710777442083
PC5,0.0615613299212846,0.6992721073633676
PC6,0.057133255375915924,0.7564053627392836
PC7,0.05432234885935808,0.8107277115986417
PC8,0.05038925018553152,0.8611169617841732
PC9,0.0440426720745227,0.9051596338586959
PC10,0.04157414258357325,0.9467337764422692
PC11,0.028692967643571134,0.9754267440858403
PC12,0.012382590148003218,0.9878093342338435
PC13,0.006977941222895145,0.9947872754567387
PC14,0.003204420817986262,0.997991696274725
PC15,0.001976661510263003,0.9999683577849879
PC16,3.1642215012331046e-05,1.0000000000000002
PC17,9.783840404320823e-18,1.0000000000000002
